"IdUsuAccesos","IdUsuarios","IdAccesos","Activado"
1,1,1,1
2,2,1,1
3,3,1,0
4,4,1,0
5,5,1,0
6,6,1,0
7,10,1,0
8,11,1,0
9,12,1,0
10,13,1,0
11,14,1,0
12,15,1,0
13,16,1,0
14,17,1,0
15,18,1,0
16,19,1,0
17,20,1,0
18,21,1,0
19,22,1,0
20,23,1,0
21,24,1,0
22,25,1,1
23,27,1,0
24,28,1,0
25,1,2,1
26,2,2,1
27,3,2,1
28,4,2,0
29,5,2,1
30,6,2,0
31,10,2,0
32,11,2,1
33,12,2,0
34,13,2,0
35,14,2,0
36,15,2,0
37,16,2,0
38,17,2,0
39,18,2,0
40,19,2,0
41,20,2,0
42,21,2,0
43,22,2,0
44,23,2,0
45,24,2,0
46,25,2,0
47,27,2,0
48,28,2,0
49,1,3,1
50,2,3,1
51,3,3,0
52,4,3,0
53,5,3,0
54,6,3,0
55,10,3,0
56,11,3,1
57,12,3,0
58,13,3,0
59,14,3,0
60,15,3,0
61,16,3,0
62,17,3,0
63,18,3,0
64,19,3,0
65,20,3,0
66,21,3,0
67,22,3,0
68,23,3,0
69,24,3,0
70,25,3,0
71,27,3,0
72,28,3,0
73,1,4,1
74,2,4,1
75,3,4,0
76,4,4,0
77,5,4,0
78,6,4,0
79,10,4,0
80,11,4,0
81,12,4,0
82,13,4,0
83,14,4,0
84,15,4,0
85,16,4,0
86,17,4,0
87,18,4,0
88,19,4,0
89,20,4,0
90,21,4,0
91,22,4,0
92,23,4,0
93,24,4,0
94,25,4,0
95,27,4,0
96,28,4,0
97,1,5,1
98,2,5,1
99,3,5,0
100,4,5,0
101,5,5,0
102,6,5,0
103,10,5,0
104,11,5,1
105,12,5,0
106,13,5,0
107,14,5,0
108,15,5,0
109,16,5,0
110,17,5,0
111,18,5,0
112,19,5,0
113,20,5,0
114,21,5,0
115,22,5,0
116,23,5,0
117,24,5,0
118,25,5,0
119,27,5,0
120,28,5,0
121,1,6,1
122,2,6,1
123,3,6,0
124,4,6,0
125,5,6,0
126,6,6,0
127,10,6,0
128,11,6,0
129,12,6,0
130,13,6,0
131,14,6,0
132,15,6,0
133,16,6,0
134,17,6,0
135,18,6,0
136,19,6,0
137,20,6,0
138,21,6,0
139,22,6,0
140,23,6,0
141,24,6,0
142,25,6,0
143,27,6,0
144,28,6,0
145,29,1,0
146,29,2,0
147,29,3,0
148,29,4,0
149,29,5,0
150,29,6,0
151,30,1,0
152,30,2,0
153,30,3,1
154,30,4,1
155,30,5,1
156,30,6,0
157,1,7,1
158,2,7,1
159,3,7,1
160,4,7,0
161,5,7,1
162,6,7,0
163,10,7,0
164,11,7,1
165,12,7,0
166,13,7,0
167,14,7,0
168,15,7,0
169,16,7,0
170,17,7,0
171,18,7,0
172,19,7,0
173,20,7,0
174,21,7,0
175,22,7,0
176,23,7,0
177,24,7,0
178,25,7,0
179,27,7,0
180,28,7,0
181,29,7,0
182,30,7,0
183,1,8,1
184,2,8,1
185,3,8,0
186,4,8,0
187,5,8,0
188,6,8,0
189,10,8,0
190,11,8,1
191,12,8,0
192,13,8,0
193,14,8,0
194,15,8,0
195,16,8,0
196,17,8,0
197,18,8,0
198,19,8,0
199,20,8,0
200,21,8,0
201,22,8,0
202,23,8,0
203,24,8,0
204,25,8,0
205,27,8,0
206,28,8,0
207,29,8,0
208,30,8,1
209,1,9,1
210,2,9,1
211,3,9,0
212,4,9,0
213,5,9,0
214,6,9,0
215,10,9,0
216,11,9,0
217,12,9,0
218,13,9,0
219,14,9,0
220,15,9,0
221,16,9,0
222,17,9,0
223,18,9,0
224,19,9,0
225,20,9,0
226,21,9,0
227,22,9,0
228,23,9,0
229,24,9,0
230,25,9,0
231,27,9,0
232,28,9,0
233,29,9,0
234,30,9,0
235,1,10,1
236,2,10,1
237,3,10,0
238,4,10,0
239,5,10,0
240,6,10,0
241,10,10,0
242,11,10,0
243,12,10,0
244,13,10,0
245,14,10,0
246,15,10,0
247,16,10,0
248,17,10,0
249,18,10,0
250,19,10,0
251,20,10,0
252,21,10,0
253,22,10,0
254,23,10,0
255,24,10,0
256,25,10,1
257,27,10,0
258,28,10,0
259,29,10,0
260,30,10,0
261,31,1,0
262,31,2,0
263,31,3,0
264,31,4,0
265,31,5,0
266,31,6,0
267,31,7,0
268,31,8,0
269,31,9,0
270,31,10,0
271,1,11,1
272,2,11,1
273,3,11,0
274,4,11,0
275,5,11,0
276,6,11,0
277,10,11,0
278,11,11,0
279,12,11,0
280,13,11,0
281,14,11,0
282,15,11,0
283,16,11,0
284,17,11,0
285,18,11,0
286,19,11,0
287,20,11,0
288,21,11,0
289,22,11,0
290,23,11,0
291,24,11,0
292,25,11,0
293,27,11,0
294,28,11,0
295,29,11,0
296,30,11,0
297,31,11,1
298,1,12,1
299,2,12,1
300,3,12,0
301,4,12,0
302,5,12,0
303,6,12,0
304,10,12,0
305,11,12,0
306,12,12,0
307,13,12,0
308,14,12,0
309,15,12,0
310,16,12,0
311,17,12,0
312,18,12,0
313,19,12,0
314,20,12,0
315,21,12,0
316,22,12,0
317,23,12,0
318,24,12,0
319,25,12,0
320,27,12,0
