"IdSalidas","IdOrdenes","IdTela","Fecha","Referencia"
1,7,2,21/04/2005 00:00:00,
2,17,14,11/05/2005 00:00:00,
3,17,10,11/05/2005 00:00:00,
4,18,2,18/05/2005 00:00:00,
5,18,14,18/05/2005 00:00:00,
6,19,2,19/05/2005 00:00:00,
7,20,14,18/05/2005 00:00:00,
8,21,14,18/05/2005 00:00:00,
9,22,14,18/05/2005 00:00:00,
10,22,10,18/05/2005 00:00:00,
11,23,21,19/05/2005 00:00:00,
12,23,2,19/05/2005 00:00:00,
13,23,14,19/05/2005 00:00:00,
14,24,21,19/05/2005 00:00:00,
15,24,2,19/05/2005 00:00:00,
16,25,14,19/05/2005 00:00:00,
17,25,14,24/05/2005 00:00:00,
18,26,14,19/05/2005 00:00:00,
19,26,10,19/05/2005 00:00:00,
20,27,1,05/05/2005 00:00:00,
21,27,3,05/05/2005 00:00:00,
22,27,18,05/05/2005 00:00:00,
23,27,5,05/05/2005 00:00:00,
24,28,1,06/05/2005 00:00:00,
25,28,3,06/05/2005 00:00:00,
26,28,6,06/05/2005 00:00:00,
27,28,1,11/05/2005 00:00:00,
28,29,1,06/05/2005 00:00:00,
29,29,6,06/05/2005 00:00:00,
30,30,1,06/05/2005 00:00:00,
31,30,3,06/05/2005 00:00:00,
32,30,6,06/05/2005 00:00:00,
33,31,10,06/05/2005 00:00:00,
34,31,3,06/05/2005 00:00:00,
35,31,1,06/05/2005 00:00:00,
36,32,1,06/05/2005 00:00:00,
37,32,6,06/05/2005 00:00:00,
38,33,12,19/05/2005 00:00:00,
39,33,14,19/05/2005 00:00:00,
40,33,1,19/05/2005 00:00:00,
41,36,13,14/06/2005 00:00:00,
42,36,3,14/06/2005 00:00:00,
43,37,4,14/06/2005 00:00:00,
44,38,2,13/06/2005 00:00:00,
45,39,14,14/06/2005 00:00:00,
46,39,10,14/06/2005 00:00:00,
47,58,4,24/06/2005 00:00:00,
48,58,2,24/06/2005 00:00:00,
49,58,6,24/06/2005 00:00:00,
50,59,4,27/06/2005 00:00:00,
51,59,16,27/06/2005 00:00:00,
52,60,4,27/06/2005 00:00:00,
53,60,1,27/06/2005 00:00:00,
54,61,4,24/06/2005 00:00:00,
55,61,1,24/06/2005 00:00:00,
56,42,10,11/07/2005 00:00:00,
57,42,3,11/07/2005 00:00:00,
58,44,4,29/06/2005 00:00:00,
59,44,10,29/06/2007 00:00:00,
60,48,10,05/07/2005 00:00:00,
61,48,3,05/07/2005 00:00:00,
62,54,10,05/07/2005 00:00:00,
63,54,3,05/07/2005 00:00:00,
64,40,4,29/06/2005 00:00:00,
65,40,2,29/06/2005 00:00:00,
