"IdSalidasDet","IdSalidas","IdTelasColAlm","TelaSal1","TelaSal2"
305,196,760,1425.07,0.00
306,197,760,2429.94,0.00
307,198,605,0.00,26.00
308,198,602,0.00,26.00
309,199,358,0.00,2.28
310,199,363,0.00,48.61
311,200,355,12.55,109.77
312,200,356,6.59,0.00
313,201,996,1220.11,0.00
314,201,763,1278.47,0.00
315,202,996,267.07,0.00
316,202,760,269.02,0.00
317,202,763,842.40,0.00
318,203,769,482.70,0.00
319,204,41,36.00,0.00
320,205,41,27.00,0.00
321,206,33,21.74,0.00
322,207,51,33.10,0.00
323,208,51,73.53,0.00
324,209,61,188.76,0.00
325,209,55,188.10,0.00
326,210,554,218.90,0.00
327,210,782,219.85,15.57
328,210,551,215.24,16.07
329,210,545,0.00,17.00
330,211,545,265.84,0.00
331,211,572,282.34,0.00
332,211,782,188.52,0.00
333,211,778,85.82,0.00
334,212,167,1.90,0.00
335,213,19,9.00,0.00
336,214,545,841.47,0.00
337,214,554,866.66,0.00
338,215,545,917.22,0.00
339,215,554,832.70,0.00
340,215,782,209.97,0.00
341,215,770,0.00,0.00
342,216,545,114.10,0.00
343,216,554,117.50,0.00
344,216,782,26.19,0.00
345,217,508,85.83,14.51
346,217,499,86.19,14.52
347,217,511,28.50,0.00
348,217,520,2.48,0.00
349,218,1023,2.50,0.00
350,219,526,22.10,0.00
351,219,523,22.00,0.00
352,220,511,100.37,14.50
353,220,502,98.35,14.50
354,220,508,2.32,0.00
355,220,520,5.30,0.00
356,221,1013,5.25,0.00
357,222,526,21.72,0.00
358,222,523,22.65,0.00
359,223,499,85.13,6.10
360,223,502,66.52,6.05
361,223,511,5.08,0.00
362,224,17,82.00,0.00
363,224,23,42.13,0.00
364,224,25,106.25,0.00
365,224,19,24.12,0.00
366,225,115,14.23,0.00
367,226,259,55.80,0.00
368,227,309,131.88,0.00
369,227,307,63.98,0.00
370,228,147,67.90,0.00
371,228,143,15.75,0.00
372,228,129,43.80,0.00
373,228,151,41.20,0.00
374,228,149,33.10,0.00
375,229,165,57.44,0.00
376,230,61,182.81,36.50
377,230,75,183.73,34.61
378,231,235,9.70,0.00
379,232,61,182.36,0.00
380,232,55,175.75,0.00
381,232,53,11.18,0.00
382,232,77,9.24,0.00
383,233,61,215.74,0.00
384,233,75,210.11,0.00
385,234,819,154.98,23.70
386,234,823,24.50,0.00
387,234,816,154.98,23.70
388,234,822,25.78,0.00
389,235,816,268.91,0.00
390,235,819,268.91,0.00
391,236,824,108.29,17.33
392,236,816,106.73,17.33
393,236,812,1.56,0.00
394,237,816,116.31,6.65
395,237,812,5.07,0.00
396,237,824,5.07,0.00
397,238,813,154.43,58.99
398,238,964,154.43,58.99
399,238,816,21.84,0.00
400,239,806,21.84,0.00
401,240,813,192.88,0.00
402,240,964,192.88,0.00
403,240,816,15.60,0.00
404,241,806,15.60,0.00
405,242,1006,842.40,0.00
406,242,763,106.99,0.00
407,243,41,27.00,0.00
408,244,774,153.62,0.00
409,244,548,240.48,0.00
410,244,545,244.01,15.83
411,244,770,0.00,0.00
412,245,551,210.87,0.00
413,245,778,220.64,16.50
414,245,554,209.01,0.00
415,245,572,13.60,19.04
416,245,545,13.60,21.36
417,246,545,270.38,0.00
418,246,774,288.93,0.00
419,246,554,277.00,0.00
420,246,548,31.78,0.00
421,247,75,177.74,7.08
422,247,61,177.98,6.50
423,248,175,9.00,0.00
424,248,181,7.60,0.00
425,248,167,23.80,0.00
426,249,41,10.21,0.00
427,250,545,165.94,0.00
428,250,551,182.62,0.00
429,250,554,233.62,0.00
430,250,572,64.36,0.00
431,250,548,62.55,0.00
432,250,782,8.00,0.00
433,250,774,8.00,0.00
434,251,986,0.00,62.00
435,252,986,410.50,0.00
436,252,991,1424.86,0.00
437,253,1001,0.00,459.50
438,254,762,269.90,0.00
439,255,1001,930.80,0.00
440,256,545,4335.64,381.28
441,256,551,1770.10,156.18
442,256,554,1738.40,135.10
443,256,774,64.00,0.00
444,256,569,2041.09,204.00
445,256,548,3511.35,0.00
446,257,557,730.15,0.00
447,257,998,215.70,60.00
448,257,983,147.60,62.00
449,257,988,708.11,0.00
450,258,169,16.33,0.00
451,259,757,573.00,0.00
452,260,1028,3410.00,307.73
453,260,563,3170.90,0.00
454,260,988,128.70,0.00
455,260,998,135.10,0.00
456,261,1269,84.19,8.36
457,262,1269,35.00,0.00
458,263,563,63.30,0.00
459,265,95,6.00,0.00
460,265,97,13.69,0.00
461,265,105,5.00,1.50
462,266,47,13.20,0.00
463,267,235,6.00,0.90
464,268,175,9.27,0.00
465,268,189,7.00,1.15
466,269,983,19.00,0.00
467,270,758,62.89,0.00
468,270,777,64.00,0.00
469,271,760,2.00,0.00
470,272,758,778.51,30.36
471,272,759,748.38,26.65
472,273,760,62.80,0.00
473,273,986,28.00,0.00
474,273,1001,62.80,0.00
475,273,991,28.00,0.00
476,274,758,901.13,93.86
477,274,759,897.30,91.01
