"IdModelosTela","IdModelos","IdTelasDis","CantTela","bPreCosto","bProduccion","bCosto"
719,1140,37,0.25,1,1,1
687,1143,52,0.18,1,1,1
688,1144,52,0.18,1,1,1
689,1145,52,0.18,1,1,1
690,1146,52,0.18,1,1,1
691,1147,52,0.18,1,1,1
692,1148,52,0.18,1,1,1
686,1149,52,0.18,1,1,1
693,1150,52,0.18,1,1,1
694,1151,52,0.15,1,1,1
695,1152,52,0.18,1,1,1
696,1153,52,0.18,1,1,1
697,1154,52,0.18,1,1,1
698,1155,52,0.18,1,1,1
699,1156,52,0.18,1,1,1
700,1157,52,0.18,1,1,1
721,1158,8,0.20,1,1,1
722,1159,8,0.20,1,1,1
723,1160,8,0.20,1,1,1
725,1161,51,0.20,1,1,1
724,1162,8,0.25,1,1,1
726,1163,51,0.20,1,1,1
728,1164,51,0.20,1,1,1
727,1165,51,0.18,1,1,1
729,1166,8,0.18,1,1,1
730,1167,8,0.18,1,1,1
731,1168,8,0.18,1,1,1
732,1169,8,0.18,1,1,1
733,1170,52,0.00,1,1,1
734,1178,52,0.00,1,1,1
735,1179,52,0.00,1,1,1
736,1180,52,0.00,1,1,1
737,1181,52,0.00,1,1,1
738,1182,52,0.00,1,1,1
739,1184,52,0.00,1,1,1
740,1185,52,0.00,1,1,1
742,1186,52,0.00,1,1,1
741,1187,52,0.00,1,1,1
743,1189,52,0.00,1,1,1
746,1190,52,0.00,1,1,1
744,1191,52,0.00,1,1,1
745,1192,52,0.00,1,1,1
747,1233,54,0.25,1,1,1
748,1305,30,0.00,1,1,1
749,1368,37,0.00,1,1,1
750,1369,37,0.00,1,1,1
751,1370,37,0.00,1,1,1
752,1371,37,0.00,1,1,1
753,1372,37,0.00,1,1,1
754,1373,37,0.00,1,1,1
755,1374,37,0.00,1,1,1
756,1375,37,0.00,1,1,1
757,1376,37,0.00,1,1,1
758,1377,37,0.00,1,1,1
759,1378,37,0.00,1,1,1
760,1379,60,0.00,1,1,1
761,1380,60,0.00,1,1,1
762,1381,60,0.00,1,1,1
763,1382,59,0.00,1,1,1
764,1383,37,0.00,1,1,1
765,1384,37,0.00,1,1,1
766,1385,37,0.00,1,1,1
772,1387,37,0.00,1,1,1
773,1388,37,0.00,1,1,1
774,1389,37,0.00,1,1,1
775,1390,37,0.00,1,1,1
777,1391,37,0.00,1,1,1
776,1392,37,0.00,1,1,1
778,1393,37,0.00,1,1,1
779,1394,37,0.00,1,1,1
767,1395,37,0.00,1,1,1
768,1396,37,0.00,1,1,1
769,1397,37,0.00,1,1,1
770,1398,37,0.00,1,1,1
771,1399,37,0.00,1,1,1
780,1408,37,0.00,1,1,1
781,1409,37,0.00,1,1,1
782,1410,37,0.00,1,1,1
783,1411,37,0.00,1,1,1
784,1412,37,0.00,1,1,1
785,1413,37,0.00,1,1,1
786,1429,6,0.00,1,1,1
787,1431,26,0.00,1,1,1
788,1473,37,0.00,1,1,1
789,1474,37,0.00,1,1,1
790,1497,57,0.00,1,1,1
791,1551,38,0.00,1,1,1
792,1834,37,0.00,1,1,1
793,1835,37,0.00,1,1,1
794,3119,63,0.00,1,1,1
795,3349,88,0.00,1,1,1
796,4203,88,0.00,1,1,1
