"IdRC_IP4","IdRC","CorteIP4","AsignadaIP4","AprobadaIP4"
1,13,0,0,0
2,39,0,0,0
11,361,0,0,0
12,387,0,0,0
13,413,0,0,0
14,439,0,0,0
