"IdEsMa_Desc","IdEsMa","DescuentoEsMa","ObsDesc"
123,1720,$3250.00,"Maquila de 500 pretinas a $6.50 que se mando a hacer a otro lado."
124,1721,$560.00,"14 prendas a $40 orden 1312"
125,1651,$5920.00,"148 prendas de vestidos ords 1311 (100) y 1313 (48)"
126,1785,$300.00,"5 prendas orden 1279"
127,1786,$400.00,"8 prendas orden 1273"
128,1789,$560.00,"7 prendas orden 1273"
129,1790,$60.00,"1 prenda ord. 1275"
130,1847,$320.00,"4 chamarras orden 1287"
131,1845,$350.00,"7 prendas, orden 1288"
132,1290,$0.00,
133,1976,$9480.00,"Descuento de 237 prendas de las 3 ordenes de blusa (1321,1322,1323)"
134,1977,$1500.00,"Transporte de rojo gomez"
135,2208,$70.00,"1 Chamarra faltante"
136,2289,$120.00,"4 prendas faltantes orden 1571"
137,2290,$600.00,"6 conjuntos orden 1552"
138,2347,$80.00,"1 prenda faltante, orden 1588"
139,2370,$1000.00,"Prendas faltantes C&A"
140,2423,$1000.00,"Pegado dobladillos"
141,2500,$1000.00,"Penalizacion por entrega tarde"
142,2574,$500.00,"5 Mesas de madera"
143,2609,$700.00,"10 Prendas ord. 1662 (Garcia)"
144,2660,$850.00,"Descuento de:
3 prendas, ord 1702 - $70
6 prendas ord 1701 - $80
2 prendas ord 82411 - $80"
145,2662,$3201.00,"Descuento por entregar tarde"
146,2663,$0.00,
147,2664,$0.00,
148,2674,$280.00,"7 prendas ord 1692,1693"
149,2677,$350.00,"5 prendas ord. 1685"
150,2766,$532.00,"Cerrando cuentas"
151,2903,$2623.71,"Cerrar cuentas"
152,2600,$0.00,"Ajuste de cuentas"
153,3450,$211.40,"Ajuste de Saldo"
154,3492,$280.00,"7 prendas orden 1908"
155,3493,$100.00,"2 prendas ord. 1918"
156,3505,,
157,3506,$660.00,"11 prendas ordenes 1913, 1914, 1915"
158,3508,$650.00,"13 prendas orden 1911"
159,3509,$200.00,"4 prendas orden 1919"
160,3512,$500.00,"10 Prendas orden 1912"
161,3528,$1000.00,"Horas Extras"
162,3529,$3000.00,"La mitad del transporte de la diferencia del envio a guadalajara"
163,3538,$300.00,"6 Prendas ord 1916 (aparte de las incompletas)"
164,3540,$840.00,"14 prendas 1923"
165,1362,$531.20,"Cierre de cuenta anterior"
166,3563,$1500.00,"1,000-Tiempo extra, 500-Espera de transporte"
167,3566,$80.00,"1 prenda, orden 1945"
168,3594,$240.00,"3 prendas ordenes 1946, 1955"
169,3598,$160.00,"2 prendas orden 1946"
170,3600,$640.00,"8 Prendas ordenes 1945 y 1954"
171,3611,$2000.00,"Por regresar el corte despues de 10 dias"
173,3630,$800.00,"10 prendas orden 1906"
175,3654,$1360.00,"68 prendas a $20 cada una"
176,3669,$320.00,"4 prendas ordenes 1953, 1954"
177,3541,$19.50,"Cuadre de cuentas"
178,3705,$100.00,"2 prendas. Una de la  ord. 1944 y la otra de la 1943"
179,3710,$380.00,"3 pendas orden 1943, 3 de 1944 y 1 de 1946"
180,3703,$560.00,"7 Prendas ordenes 1952 y 1953"
181,3720,$48.00,"Mercancia sin monarch"
182,3735,$80.00,"1 prenda ord 1960"
183,3755,$840.00,"12 Shorts a $70"
184,3757,$150.00,"3 Playeras ords. 1967,1968"
185,3759,$2000.00,"Por entrega defectuosa"
186,3774,$400.00,"5 prendas orden 1969"
187,3813,$120.00,"2 prendas orden 1964"
188,3853,$1819.00,"Descuento provisional por la entrega mal de las faldas gatubela"
189,3876,$200.00,"4 prendas ordene 1992 y 1993"
