"IdIP_InfConf","IdUsuarios","FechaRevision","IdOrdenes","InfGeneral","InfTela","InfHab","Medidas","Dibujo","Observ","InfEtiqueta","EspCostura","MedidasPrendas"
93,31,26/08/2009 00:00:00,941,1,1,1,0,1,1,1,1,0
95,31,04/09/2009 00:00:00,901,1,1,1,0,1,0,1,0,1
96,31,04/09/2009 00:00:00,902,1,1,1,0,1,0,1,1,1
97,31,04/09/2009 00:00:00,903,1,1,1,0,1,0,1,1,0
98,31,23/09/2009 00:00:00,913,1,1,1,1,1,1,1,1,0
99,31,23/09/2009 00:00:00,914,1,1,1,1,1,0,1,0,0
100,31,23/09/2009 00:00:00,915,1,1,1,1,1,1,1,1,1
101,31,23/09/2009 00:00:00,916,1,1,1,1,1,1,1,1,1
102,31,23/09/2009 00:00:00,917,1,1,1,1,1,1,1,1,1
103,31,23/09/2009 00:00:00,918,1,1,1,1,1,1,1,1,1
104,31,23/09/2009 00:00:00,919,1,1,1,1,1,1,1,1,1
105,31,23/09/2009 00:00:00,904,1,1,1,1,1,1,1,1,1
106,31,23/09/2009 00:00:00,905,1,1,1,1,1,1,1,1,0
107,31,24/09/2009 00:00:00,952,1,1,1,1,1,0,1,1,1
108,31,07/10/2009 00:00:00,945,1,1,1,1,1,1,1,1,1
109,31,12/10/2009 00:00:00,969,1,1,1,1,1,1,1,1,1
110,31,12/10/2009 00:00:00,897,1,1,1,1,1,1,1,1,1
111,31,12/10/2009 00:00:00,947,1,1,1,1,1,1,1,1,1
112,31,12/10/2009 00:00:00,944,1,1,1,1,1,1,1,1,1
113,31,12/10/2009 00:00:00,946,1,1,1,1,1,1,1,1,1
114,31,12/10/2009 00:00:00,948,1,1,1,1,1,1,1,1,1
115,31,12/10/2009 00:00:00,949,1,1,1,1,1,1,1,1,1
116,31,16/10/2009 00:00:00,953,1,1,1,0,1,0,1,1,1
117,31,16/10/2009 00:00:00,956,1,1,1,1,1,1,1,1,1
118,31,16/10/2009 00:00:00,954,1,1,1,1,1,1,1,1,1
119,31,16/10/2009 00:00:00,957,1,1,1,1,1,1,1,1,1
120,31,16/10/2009 00:00:00,955,1,1,1,1,1,1,1,1,1
121,31,16/10/2009 00:00:00,960,1,1,1,1,1,1,1,1,1
122,31,16/10/2009 00:00:00,961,1,1,1,1,1,1,1,1,1
123,31,16/10/2009 00:00:00,962,1,1,1,1,1,1,1,1,1
124,31,22/10/2009 00:00:00,974,1,1,1,1,1,1,1,1,1
125,31,22/10/2009 00:00:00,975,1,1,1,1,1,1,1,1,1
126,31,22/10/2009 00:00:00,973,1,1,1,1,1,1,1,1,1
127,31,22/10/2009 00:00:00,971,1,1,1,1,1,1,1,1,1
128,31,22/10/2009 00:00:00,972,1,1,1,1,1,1,1,1,1
129,31,22/10/2009 00:00:00,978,1,1,1,1,1,1,1,1,1
130,31,22/10/2009 00:00:00,979,1,1,1,1,1,1,1,1,1
131,31,06/11/2009 00:00:00,958,1,1,1,1,1,1,1,1,1
132,31,06/11/2009 00:00:00,959,1,1,1,1,1,1,1,1,1
133,31,06/11/2009 00:00:00,964,1,1,1,1,1,1,1,1,1
134,31,06/11/2009 00:00:00,965,1,1,1,1,1,1,1,1,1
135,31,10/11/2009 00:00:00,980,1,1,1,1,1,1,1,1,1
136,31,10/11/2009 00:00:00,981,1,1,1,1,1,1,1,1,1
137,31,11/11/2009 00:00:00,993,1,1,1,1,1,1,1,1,1
138,31,11/11/2009 00:00:00,994,1,1,1,1,1,0,1,1,1
139,31,24/11/2009 00:00:00,998,1,1,1,1,1,0,1,1,1
140,31,24/11/2009 00:00:00,997,1,1,1,1,1,1,1,1,1
141,31,24/11/2009 00:00:00,984,1,1,1,1,1,1,1,1,1
142,31,24/11/2009 00:00:00,986,1,1,1,1,1,1,1,1,1
143,31,24/11/2009 00:00:00,985,1,1,1,1,1,1,1,1,1
144,31,24/11/2009 00:00:00,987,1,1,1,1,1,1,1,1,1
145,31,24/11/2009 00:00:00,988,1,1,1,1,1,1,1,1,1
146,31,24/11/2009 00:00:00,989,1,1,1,1,1,1,1,1,1
147,31,24/11/2009 00:00:00,990,1,1,1,1,1,1,1,1,1
149,31,25/11/2009 00:00:00,982,1,1,1,1,1,1,1,1,1
