"IdProm_Codigos","ModeloProm","CodigoProm","Proveedor","IdPrenda","IdGenero","Consecutivo","IdPartida","Precio","Precio2","Foto1","Foto2","CostoUS","CantidadRec","IdUsuarios"
124,"L6313","73803149L6313","738","L",6,313,3,129,149.00,"L6313a","L6313b",12.50,100,1
125,"L6314","73803149L6314","738","L",6,314,3,129,149.00,"L6314a","L6314b",15.50,100,1
126,"L6315","73803169L6315","738","L",6,315,3,149,169.00,"L6315a","L6315b",17.50,100,1
127,"L6316","73803169L6316","738","L",6,316,3,149,169.00,"L6316a","L6316b",17.50,100,1
128,"L6317","73803199L6317","738","L",6,317,3,169,199.00,"L6317a","L6317b",19.50,100,1
129,"L6318","73803199L6318","738","L",6,318,3,169,199.00,"L6318a","L6318b",19.50,100,1
130,"L6319","73803219L6319","738","L",6,319,3,189,219.00,"L6319a","L6319b",22.50,100,1
131,"L6320","73803249L6320","738","L",6,320,3,209,249.00,"L6320a","L6320b",24.50,100,1
132,"L6321","73803249L6321","738","L",6,321,3,209,249.00,"L6321a","L6321b",24.50,50,1
133,"L6322","73803269L6322","738","L",6,322,3,229,269.00,"L6322a","L6322b",26.50,50,1
134,"L6323","73803269L6323","738","L",6,323,3,229,269.00,"L6323a","L6323b",27.50,50,1
135,"L6324","73803299L6324","738","L",6,324,3,249,299.00,"L6324a","L6324b",29.50,100,1
136,"L6325","73803399L6325","738","L",6,325,3,349,399.00,"L6325a","L6325b",39.50,100,1
137,"S6309","73803349S6309","738","S",6,309,3,299,349.00,"S6309a","S6309b",36.50,100,1
138,"E4305","73803199E4305","738","E",4,305,3,169,199.00,"E4305a","E4305b",19.50,100,1
139,"E4306","73803219E4306","738","E",4,306,3,189,219.00,"E4306a","E4306b",22.50,200,1
140,"E4307","73803349E4307","738","E",4,307,3,299,349.00,"E4307a","E4307b",34.50,200,1
141,"C4324","73803199C4324","738","C",4,324,3,169,199.00,"C4324a","C4324b",19.50,50,1
142,"P4001","73803199P4001","738","P",4,1,3,169,199.00,"P4001a","P4001b",18.50,100,1
143,"P4302","73803249P4302","738","P",4,302,3,209,249.00,"P4302a","P4302b",24.50,100,1
144,"P4303","73803269P4303","738","P",4,303,3,229,269.00,"P4303a","P4303b",26.50,200,1
145,"L4326","73803199L4326","738","L",4,326,3,169,199.00,"L4326a","L4326b",19.50,200,1
146,"L4327","73803219L4327","738","L",4,327,3,189,219.00,"L4327a","L4327b",22.50,100,1
147,"L4328","73803249L4328","738","L",4,328,3,209,249.00,"L4328a","L4328b",24.50,100,1
148,"L4329","73803269L4329","738","L",4,329,3,229,269.00,"L4329a","L4329b",26.50,50,1
149,"L4330","73803269L4330","738","L",4,330,3,229,269.00,"L4330a","L4330b",26.50,50,1
150,"L4331","73803299L4331","738","L",4,331,3,249,299.00,"L4331a","L4331b",29.50,100,1
151,"F4301","73803319F4301","738","F",4,301,3,269,319.00,"F4301a","F4301b",32.50,100,1
152,"F4302","73803349F4302","738","F",4,302,3,299,349.00,"F4302a","F4302b",34.50,50,1
153,"F4303","73803499F4303","738","F",4,303,3,419,499.00,"F4303a","F4303b",49.50,50,1
154,"L4332","73803319L4332","738","L",4,332,3,269,319.00,"L4332a","L4332b",32.50,50,1
155,"L4333","73803249L4333","738","L",4,333,3,209,249.00,"L4333a","L4333b",24.50,100,1
156,"R4005","73802799R4005","738","R",4,5,2,669,799.00,"R4005a","R4005b",79.50,10,1
157,"S4310","73803399S4310","738","S",4,310,3,,399.00,"S4310a","S4310b",39.50,10,1
158,"W6306","73803399W6306","738","W",6,306,3,,399.00,"W6306a","W6306b",39.50,10,1
159,"S4311","73803319S4311","738","S",4,311,3,269,319.00,"S4311a","S4311b",32.50,50,1
160,"S4312","73803399S4312","738","S",4,312,3,349,399.00,"S4312a","S4312b",39.50,100,1
161,"Y6005","73803249Y6005","738","Y",6,5,3,209,249.00,"Y6005a","Y6005b",24.50,100,1
162,"Y6302","73803249Y6302","738","Y",6,302,3,209,249.00,"Y6302a","Y6302b",24.50,100,1
163,"Y6303","73803219Y6303","738","Y",6,303,3,189,219.00,"Y6303a","Y6303b",22.50,100,1
164,"S4313","73803499S4313","738","S",4,313,3,419,499.00,"S4313a","S4313b",49.50,50,1
165,"S4006","73803399S4006","738","S",4,6,3,,399.00,"S4006a","S4006b",39.50,10,1
166,"H6301","73803599H6301","738","H",6,301,3,,599.00,"H6301a","H6301b",59.50,20,1
167,"R6301","73803799R6301","738","R",6,301,3,,799.00,"R6301a","R6301b",79.50,20,1
168,"P6002","73803249P6002","738","P",6,2,3,209,249.00,"P6002a","P6002b",24.50,100,1
169,"P6304","73803199P6304","738","P",6,304,3,169,199.00,"P6304a","P6304b",19.50,50,1
170,"A6302","73803299A6302","738","A",6,302,3,249,299.00,"A6302a","A6302b",29.50,50,1
171,"N4314","73803249N4314","738","N",4,314,3,,249.00,"N4314a","N4314b",24.50,20,1
172,"C4325","73802249C4325","738","C",4,325,2,209,249.00,"C4325a","C4325b",24.50,50,1
