"IdRC","IdOrdenes","IdCP_Tiempos","IdCP_Procesos","NumProcesoRC","TiempoRC","AntecesorRC","FechaEst","FechaReal","IdUsuario","FechaUsuarioRC","Acumulado"
457,5488,28,2,2,3,"1",25/03/2026 00:00:00,,0,,4
458,5488,29,3,3,1,"2",26/03/2026 00:00:00,,0,,5
459,5488,30,4,4,15,"1",10/04/2026 00:00:00,,0,,16
460,5488,32,6,6,2,"2",27/03/2026 00:00:00,,0,,6
461,5488,33,7,7,15,"2",15/04/2026 00:00:00,,0,,19
462,5488,34,8,8,12,"2",10/04/2026 00:00:00,,0,,16
463,5488,35,9,9,12,"1",07/04/2026 00:00:00,,0,,13
464,5488,36,10,10,8,"4",22/04/2026 00:00:00,,0,,24
465,5488,37,11,11,1,"8",13/04/2026 00:00:00,,0,,17
466,5488,38,12,12,12,"11",29/04/2026 00:00:00,,0,,29
467,5488,39,13,13,30,"6",08/05/2026 00:00:00,,0,,36
468,5488,40,14,14,7,"13",19/05/2026 00:00:00,,0,,43
469,5488,41,15,15,3,"13",13/05/2026 00:00:00,,0,,39
470,5488,42,16,16,3,"15",18/05/2026 00:00:00,,0,,42
471,5488,43,17,17,3,"16",21/05/2026 00:00:00,,0,,45
472,5488,47,21,21,1,"22",,,0,,1
473,5488,48,22,22,10,"21",,,0,,11
474,5488,49,23,23,2,"22",,,0,,13
475,5488,50,24,24,2,"23",,,0,,15
476,5488,51,25,25,5,"24",,,0,,20
477,5488,52,26,26,3,"25",,,0,,23
