"IdCP_Cant","DeCant","ACant","FactorCant"
1,1,500,0.60
2,501,999,0.80
3,1000,1500,1.00
4,1501,2000,1.20
5,2001,3000,1.50
6,3001,4000,1.80
7,4001,5000,2.00
8,5001,6000,2.20
10,6001,8000,2.50
11,8001,10000,2.80
12,10001,20000,3.00
