"IdRC_IP3","IdRC","Moldes","MuestraFisica","FichaTecnica","Digitalizacion","Graduacion","MandarModelo"
1,12,0,0,0,0,0,0
2,38,0,0,0,0,0,0
11,360,0,0,0,0,0,0
12,386,0,0,0,0,0,0
13,412,0,0,0,0,0,0
14,438,0,0,0,0,0,0
